Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,MP,Starts,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,ShortCmp,ShortAtt,ShortCmp%,ShortTotDist,ShortPrgDist,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,CPA,Mis,Dis,Rec,Dead,TB,Sw,Crs,TI,In,Out,Str,Off,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG
Aaron Connolly,ie,FW,MF,Brighton,Premier League,21.0,2000.0,17.0,9.0,8.8,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.2,4.2,12.0,4.0,58.0,0.34,0.48,6.0,3.0,12.0,57.0,108.0,0.0,2.0,0.0,2.0,23.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,94.0,76.6,844.0,176.0,51.0,65.0,78.5,14.0,16.0,87.5,0.1,0.8,6.0,11.0,1.0,0.0,174.0,1.0,35.0,174.0,5.0,45.5,6.0,54.5,106.0,652.0,276.0,5.0,27.0,8.0,134.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,47.0,23.1,68.0,1.0,8.0,23.0,11.0,0.88,11.0,17.0,-6.0,-0.68,-0.68,16.0,7.3,8.7,0.99,8.0,34.8,2.62,0.91,0.09,0.25,14.0,0.17,-2.0,-2.0
Aaron Cresswell,eng,DF,0,West Ham,Premier League,31.0,1989.0,36.0,36.0,35.2,0.0,8.0,8.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,6.5,7.5,35.0,162.0,96.0,0.23,0.21,32.0,13.0,758.0,1071.0,555.0,18.0,32.0,56.3,44.0,29.0,14.0,15.0,32.0,64.0,79.0,0.0,0.0,101.0,87.0,0.0,0.0,0.0,0.0,0.0,1586.0,2141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.75,31.0,20.0,0.0,0.0,0.0,6.0,0.2,1586.0,2141.0,74.1,28632.0,13845.0,754.0,847.0,89.0,606.0,755.0,80.3,5.0,1.5,58.0,174.0,26.0,18.0,2366.0,169.0,14.0,2366.0,4.0,40.0,6.0,60.0,1148.0,5201.0,2524.0,0.0,13.0,9.0,1349.0,447.0,2.0,20.0,207.0,259.0,27.0,56.0,0.0,23.0,88.0,92.7,88.0,34.0,0.0,0.0,0.0,1.81,60.0,41.0,19.0,0.54,1.98,52.2,42.5,9.7,0.28,4.0,21.1,0.54,0.11,0.0,0.0,25.4,0.05,-1.0,-1.0
Aaron Hickey,sct,DF,0,Bologna,Serie A,19.0,2002.0,11.0,10.0,31.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.1,0.1,21.0,36.0,28.0,0.0,0.01,12.0,8.0,149.0,235.0,115.0,7.0,17.0,41.2,10.0,6.0,1.0,5.0,15.0,27.0,15.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.4,37.0,1.0,2.0,4.0,0.0,4.0,0.13,337.0,397.0,84.9,5489.0,1742.0,160.0,174.0,92.0,142.0,165.0,86.1,0.2,-0.1,2.0,30.0,3.0,1.0,495.0,26.0,8.0,495.0,7.0,43.8,9.0,56.3,282.0,1610.0,739.0,4.0,16.0,8.0,268.0,81.0,0.0,3.0,7.0,68.0,0.0,0.0,0.0,2.0,69.0,22.2,74.0,4.0,1.0,15.0,8.0,1.27,13.0,16.0,-3.0,-0.36,0.02,10.0,12.4,-2.4,-0.28,0.0,0.0,0.24,0.0,0.0,0.0,29.9,0.03,-0.1,-0.1
Aaron Kamardin,km,DF,0,Marseille,Ligue 1,18.0,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Lennon,eng,MF,FW,Burnley,Premier League,34.0,1987.0,0.0,0.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.92,21.0,0.0,5.0,5.0,0.0,4.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Leya Iseka,be,FW,0,Metz,Ligue 1,22.0,1997.0,21.0,12.0,11.2,4.0,0.0,4.0,2.0,2.0,3.0,4.0,0.0,4.8,2.5,0.6,3.0,13.0,12.0,51.0,0.18,0.48,6.0,4.0,25.0,152.0,119.0,0.0,4.0,0.0,4.0,17.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,192.0,73.4,1753.0,277.0,89.0,106.0,84.0,29.0,46.0,63.0,0.4,-0.6,12.0,12.0,1.0,0.0,293.0,10.0,32.0,290.0,11.0,57.9,8.0,42.1,177.0,923.0,361.0,10.0,35.0,19.0,245.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,48.0,29.5,65.0,1.0,9.0,26.0,5.0,1.14,8.0,15.0,-7.0,-0.62,-0.74,13.5,12.3,1.2,0.1,6.0,35.3,1.52,0.54,0.12,0.33,15.5,0.14,-0.8,-0.5
Aaron Ramsdale,eng,GK,0,Arsenal,Premier League,23.0,1998.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsdale,eng,GK,0,Sheffield Utd,Premier League,22.0,1998.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1261.0,12.0,2.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,2.0,3.0,22.0,63.0,3.0,133.0,8.0,3.0,54.3,0.26,-5.7,-0.15,569.0,1153.0,32.2,866.0,128.0,64.5,45.5,578.0,33.0,5.7,34.0,0.89,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.0,1153.0,49.3,22218.0,19232.0,71.0,73.0,97.3,176.0,179.0,98.3,0.1,-0.1,2.0,44.0,1.0,0.0,1274.0,1085.0,2.0,1274.0,2.0,100.0,0.0,0.0,650.0,4462.0,2614.0,0.0,2.0,0.0,421.0,414.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,90.0,100.0,90.0,38.0,0.0,0.0,0.0,0.61,20.0,63.0,-43.0,-1.13,0.0,32.6,62.2,-29.6,-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsey,wls,MF,0,Juventus,Serie A,30.0,1990.0,22.0,13.0,12.1,2.0,4.0,6.0,2.0,0.0,0.0,2.0,0.0,4.2,4.2,3.3,7.5,38.0,72.0,96.0,0.5,0.62,22.0,14.0,115.0,423.0,323.0,8.0,25.0,32.0,17.0,24.0,2.0,11.0,7.0,29.0,8.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,622.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.76,3.0,0.0,0.0,0.0,0.0,0.0,0.0,622.0,728.0,85.4,9585.0,2443.0,328.0,365.0,89.9,217.0,241.0,90.0,2.0,0.7,31.0,57.0,21.0,5.0,858.0,18.0,62.0,858.0,10.0,76.9,3.0,23.1,492.0,2681.0,1181.0,13.0,30.0,9.0,698.0,19.0,1.0,2.0,22.0,1.0,3.0,3.0,0.0,5.0,50.0,31.8,67.0,1.0,9.0,24.0,8.0,2.18,31.0,11.0,20.0,1.65,0.92,27.4,14.2,13.2,1.09,11.0,45.8,1.98,0.91,0.08,0.18,14.5,0.17,-2.2,-2.2
Aaron Wan-Bissaka,eng,DF,0,Manchester Utd,Premier League,23.0,1997.0,34.0,34.0,34.0,2.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,0.9,0.9,2.3,3.2,89.0,145.0,176.0,0.18,0.09,88.0,54.0,807.0,1085.0,677.0,32.0,45.0,71.1,46.0,65.0,17.0,48.0,62.0,150.0,84.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1805.0,2147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.76,29.0,0.0,3.0,1.0,1.0,1.0,0.05,1805.0,2147.0,84.1,24032.0,8316.0,1179.0,1281.0,92.0,516.0,618.0,83.5,2.1,1.7,31.0,93.0,32.0,13.0,2547.0,116.0,32.0,2547.0,34.0,56.7,25.0,41.7,1294.0,7565.0,3797.0,5.0,34.0,21.0,1551.0,288.0,0.0,2.0,60.0,277.0,0.0,0.0,0.0,5.0,90.0,89.5,90.0,34.0,0.0,0.0,3.0,2.06,67.0,36.0,31.0,0.91,1.41,54.9,37.2,17.7,0.52,4.0,57.1,0.21,0.12,0.29,0.5,15.2,0.14,1.1,1.1
